Part Name,Type,State,Device,Situation,Last Version,Dependent to,Relevent to,File Name,Function,Info,file directory
Environment,Config,Final,General,On local,1.0.0,N/A,"prisma.ts, auth.ts, kavenegar.ts",.env,Environment Configuration,Stores environment variables and secrets,e:\Cavian\Cavian V0.1.0\
Git Ignore,Config,Final,General,On local,1.0.0,N/A,N/A,.gitignore,Git Ignore,Specifies files to be ignored by Git,e:\Cavian\Cavian V0.1.0\
ReadMe,Doc,Document writing,General,On local,1.0.0,N/A,N/A,README.md,Documentation,Project overview and setup instructions,e:\Cavian\Cavian V0.1.0\
ESLint Config,Config,Final,General,On local,1.0.0,N/A,N/A,eslint.config.mjs,Code Linting,ESLint configuration for code quality,e:\Cavian\Cavian V0.1.0\
Next.js Types,Type,Final,General,On local,1.0.0,Next.js,N/A,next-env.d.ts,Type Definitions,Next.js type definitions for TypeScript,e:\Cavian\Cavian V0.1.0\
Next.js Config,Config,Final,General,On local,1.0.0,Next.js,N/A,next.config.ts,Configuration,Next.js framework configuration,e:\Cavian\Cavian V0.1.0\
Package,Config,Final,General,On local,1.0.0,Node.js,N/A,package.json,Project Configuration,Defines project dependencies and scripts,e:\Cavian\Cavian V0.1.0\
Package Lock,Config,Final,General,On local,1.0.0,package.json,N/A,package-lock.json,Dependencies,Locks dependency versions for reproducible installs,e:\Cavian\Cavian V0.1.0\
PostCSS Config,Config,Final,General,On local,1.0.0,PostCSS,N/A,postcss.config.mjs,CSS Processing,PostCSS configuration for CSS processing,e:\Cavian\Cavian V0.1.0\
TypeScript Config,Config,Final,General,On local,1.0.0,TypeScript,N/A,tsconfig.json,Type Checking,TypeScript configuration file,e:\Cavian\Cavian V0.1.0\
TypeScript Paths,Config,Final,General,On local,1.0.0,TypeScript,N/A,tsconfig.paths.json,Path Aliases,TypeScript path aliases configuration,e:\Cavian\Cavian V0.1.0\
Prisma Client,Lib,Final,General,On local,1.0.0,"@prisma/client, .env, schema.prisma","auth.ts, error-handler.ts, all API routes",prisma.ts,Database Client,Prisma database client configuration,e:\Cavian\Cavian V0.1.0\lib\
Database Schema,Schema,Final,General,On local,1.0.0,Prisma,N/A,schema.prisma,Database Schema,Defines database models and relations,e:\Cavian\Cavian V0.1.0\prisma\
Database Migration,Script,Final,General,On local,1.0.0,"prisma/schema.prisma, prisma migrate",N/A,migration.sql,Database Structure,Initial database migration file,e:\Cavian\Cavian V0.1.0\prisma\migrations\20250608192104_first_schema\
Updated Database Migration,Script,Final,General,On local,1.0.0,"prisma/schema.prisma, prisma migrate",N/A,migration.sql,Database Update,Updated product ID to timestamp format,e:\Cavian\Cavian V0.1.0\prisma\migrations\20250612142459_change_product_id_to_timestamp\
Global Styles,Style,Final,General,On local,1.0.0,Tailwind CSS,"layout.tsx, page.tsx",globals.css,Global Styling,Global CSS styles and variables,e:\Cavian\Cavian V0.1.0\src\app\
Root Layout,Layout,Final,General,On local,1.0.0,Next.js,"page.tsx, globals.css",layout.tsx,Page Layout,Root layout component for the application,e:\Cavian\Cavian V0.1.0\src\app\
Home Page,Page,Final,General,On local,1.0.0,Next.js,"layout.tsx, globals.css",page.tsx,Landing Page,Main landing page of the application,e:\Cavian\Cavian V0.1.0\src\app\
Auth Service,Service,Final,General,On local,1.0.0,"bcryptjs, jsonwebtoken, process.env","all API routes, prisma.ts, api-utils.ts",auth.ts,Authentication,Handles JWT and password hashing,e:\Cavian\Cavian V0.1.0\lib\
Kavenegar Service,Service,Final,General,On local,1.0.0,"axios, process.env","forgot-password/request/route.ts, otp/request/route.ts",kavenegar.ts,SMS Service,Handles OTP sending via Kavenegar API,e:\Cavian\Cavian V0.1.0\lib\
API Utils,Util,Final,General,On local,1.0.0,"auth.ts, next/server","all API routes, product routes",api-utils.ts,API Utilities,Common API utilities and middleware,e:\Cavian\Cavian V0.1.0\lib\
Barcode Utils,Util,Final,General,On local,1.0.0,N/A,"product routes, variant routes",barcode-utils.ts,Barcode Generation,Utility functions for barcode generation,e:\Cavian\Cavian V0.1.0\lib\
Product Utils,Util,Final,General,On local,1.0.0,"@prisma/client, prisma.ts","product routes, variant routes",product-utils.ts,Product Utilities,Utility functions for product operations,e:\Cavian\Cavian V0.1.0\lib\
SKU Utils,Util,Final,General,On local,1.0.0,N/A,"product-utils.ts, variant routes",sku-utils.ts,SKU Generation,Utility functions for SKU generation,e:\Cavian\Cavian V0.1.0\lib\
Error Handler,Lib,Final,General,On local,1.0.0,"next/server, @types/node","all API routes, auth.ts, kavenegar.ts",error-handler.ts,Error Handling,Centralized error handling utilities,e:\Cavian\Cavian V0.1.0\lib\
Rate Limiter,Lib,Final,General,On local,1.0.0,"error-handler.ts, @types/node","otp/request/route.ts, forgot-password/request/route.ts",rate-limiter.ts,Rate Limiting,API rate limiting middleware,e:\Cavian\Cavian V0.1.0\lib\
OTP Utils,Lib,Final,General,On local,1.0.0,N/A,"otp/request/route.ts, forgot-password/request/route.ts",otp-utils.ts,OTP Generation,Utility functions for OTP operations,e:\Cavian\Cavian V0.1.0\lib\
Success Messages,Lib,Final,General,On local,1.0.0,N/A,"error-handler.ts, all API routes",success-messages.ts,Success Messages,Centralized success messages,e:\Cavian\Cavian V0.1.0\lib\
Login API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts, bcryptjs","otp/verify/route.ts, logout/route.ts",route.ts,Authentication,Handles admin login with credentials,e:\Cavian\Cavian V0.1.0\src\app\api\admin\login\
Logout API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts","login/route.ts, auth.ts",route.ts,User Session,Handles admin logout functionality,e:\Cavian\Cavian V0.1.0\src\app\api\admin\logout\
OTP Request API,API,Final,General,On local,1.0.0,"kavenegar.ts, prisma.ts, error-handler.ts, rate-limiter.ts","otp/verify/route.ts, auth.ts",route.ts,Authentication,Handles OTP request for admin login,e:\Cavian\Cavian V0.1.0\src\app\api\admin\otp\request\
