Part Name,Type,State,Device,Situation,Last Version,Dependent to,Relevent to,File Name,Function,Info,file directory
Root Configuration,Config,Stable,All,Active,1.0.0,Node.js,Next.js,package.json,Project Configuration,Contains project dependencies and scripts,e:\Cavian\Cavian V0.1.0\
ESLint Config,Config,Stable,All,Active,1.0.0,ESLint,JavaScript,eslint.config.mjs,Code Linting,ESLint configuration for code quality,e:\Cavian\Cavian V0.1.0\
Next.js Config,Config,Stable,All,Active,1.0.0,Next.js,React,next.config.js,Next.js Configuration,Next.js framework configuration,e:\Cavian\Cavian V0.1.0\
PostCSS Config,Config,Stable,All,Active,1.0.0,PostCSS,CSS,postcss.config.mjs,CSS Processing,PostCSS configuration for CSS processing,e:\Cavian\Cavian V0.1.0\
TypeScript Config,Config,Stable,All,Active,1.0.0,TypeScript,Next.js,tsconfig.json,Type Checking,TypeScript configuration file,e:\Cavian\Cavian V0.1.0\
Auth Module,Module,Stable,Server,Active,1.0.0,JWT,API,auth.ts,Authentication,Handles JWT and password hashing,e:\Cavian\Cavian V0.1.0\lib\
Kavenegar Module,Module,Stable,Server,Active,1.0.0,API,Auth,kavenegar.ts,SMS Service,Handles OTP sending via Kavenegar API,e:\Cavian\Cavian V0.1.0\lib\
Prisma Client,Module,Stable,Server,Active,1.0.0,Database,API,prisma.ts,Database Client,Prisma database client configuration,e:\Cavian\Cavian V0.1.0\lib\
Prisma Schema,Database,Stable,Server,Active,1.0.0,Prisma,Database,schema.prisma,Database Schema,Defines database models and relations,e:\Cavian\Cavian V0.1.0\prisma\
Database Migration,Database,Stable,Server,Active,1.0.0,Prisma,Database,migration.sql,Database Structure,Initial database migration file,e:\Cavian\Cavian V0.1.0\prisma\migrations\20250608192104_first_schema\
Database Seed,Script,Stable,Server,Active,1.0.0,Prisma,Database,seed.ts,Data Population,Script to populate initial admin data,e:\Cavian\Cavian V0.1.0\prisma\
Environment,Config,Stable,All,Active,1.0.0,All,Configuration,.env,Environment Variables,Stores sensitive configuration,e:\Cavian\Cavian V0.1.0\
Logout API,API,Stable,Server,Active,1.0.0,Auth,Admin,route.ts,User Session,Handles admin logout functionality,e:\Cavian\Cavian V0.1.0\src\app\api\admin\logout\
OTP Request API,API,Stable,Server,Active,1.0.0,Auth,Admin,route.ts,Authentication,Handles OTP request for admin login,e:\Cavian\Cavian V0.1.0\src\app\api\admin\otp\request\
OTP Verify API,API,Stable,Server,Active,1.0.0,Auth,Admin,route.ts,Authentication,Verifies OTP for admin login,e:\Cavian\Cavian V0.1.0\src\app\api\admin\otp\verify\
Global Styles,Styles,Stable,Web,Active,1.0.0,Next.js,UI,globals.css,Global Styling,Global CSS styles and variables,e:\Cavian\Cavian V0.1.0\src\app\
Root Layout,Component,Stable,Web,Active,1.0.0,Next.js,Layout,layout.tsx,Page Layout,Root layout component for the application,e:\Cavian\Cavian V0.1.0\src\app\
Home Page,Page,Stable,Web,Active,1.0.0,Next.js,UI,page.tsx,Landing Page,Main landing page of the application,e:\Cavian\Cavian V0.1.0\src\app\
Font - Pinar ExtraBold,Asset,Stable,Web,Active,1.0.0,UI,Font,Pinar-DS1-FD-ExtraBold.ttf,Font File,ExtraBold weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
Font - Pinar Medium,Asset,Stable,Web,Active,1.0.0,UI,Font,Pinar-DS1-FD-Medium.ttf,Font File,Medium weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
README,Documentation,Stable,All,Active,1.0.0,Project,Documentation,README.md,Project Documentation,Project overview and setup instructions,e:\Cavian\Cavian V0.1.0\
